Cidade;Estado;pop_f1;pop_f2;pop_f3;pop_f4;pop_f5;pop_f6;pop_f7;pop_f8;pop_f9;pop_f10;pop_f11;pop_f12;pop_f13;pop_f14;pop_f15;aposent_ocup;aposent_nocup;naposent_ocup;naposent_nocup;contrib_prev;ncontrib_prev;rend_empreg_clt;rend_funcpubl;rend_empreg_nclt;rend_autonomos;rend_empregador;estud_f1;estud_f2;estud_f3;estud_f4;estud_f5;estud_f6;estud_f7;estud_f8;estud_f9;estud_f10;estud_f11;estud_f12;estud_f13;estud_f14;nestud_f1;nestud_f2;nestud_f3;nestud_f4;nestud_f5;nestud_f6;nestud_f7;nestud_f8;nestud_f9;nestud_f10;nestud_f11;nestud_f12;nestud_f13;nestud_f14;freq_creche_pub;freq_preescola_pub;freq_alfabetizacao_pub;freq_eja_pub;freq_fundamental_pub;freq_medio_pub;freq_superior_pub;freq_pos_pub;freq_creche_priv;freq_preescola_priv;freq_alfabetizacao_priv;freq_eja_priv;freq_fundamental_priv;freq_medio_priv;freq_superior_priv;freq_pos_priv;adult_fundament_incomp;adult_medio_incomp;adult_sup_incomp;adult_sup_completo;quant_urbano;quant_rural;quant_masculino;quant_feminimo
Amapá;Amapá;885,45;174,55;171,68;405,65;308,67;757,00;696,00;617,00;499,00;402,00;312,00;247,96;229,04;285,00;215,17;91,36;332,12;2655,31;3127,38;1135,56;1192,06;1217,91;2646,02;544,72;497,59;6783,29;72,23;145,44;205,69;181,79;598,49;234,97;776,54;461,90;143,72;112,65;73,35;52,33;34,01;73,96;592,09;23,07;14,47;15,24;14,32;4,73;43,76;115,43;164,95;644,35;622,65;564,67;464,99;1617,21;30,33;325,65;348,22;46,14;1798,54;475,30;65,33;11,36;0,00;9,02;0,00;0,00;6,47;0,00;37,31;13,39;2162,64;417,32;795,07;128,14;86,24;13,76;52,19;47,81
Calçoene;Amapá;916,13;231,87;148,86;369,05;322,09;753,00;735,00;652,00;560,00;531,00;448,00;366,29;256,71;280,00;168,04;112,95;247,64;3328,69;3043,37;1139,55;1573,64;1117,25;2334,61;610,57;721,99;8987,14;54,55;180,78;255,02;232,66;608,91;263,07;846,39;403,10;102,18;120,00;90,50;75,91;58,49;79,31;826,18;62,46;18,68;0,00;22,74;16,77;21,78;114,81;219,91;633,00;644,50;576,09;501,51;1970,73;40,10;537,13;60,94;16,08;2093,36;420,14;60,22;10,56;3,06;0,00;0,00;0,00;15,13;4,33;97,10;12,71;2385,42;676,90;762,16;145,82;81,19;18,81;53,57;46,43
Cutias;Amapá;493,70;152,30;106,94;245,11;202,95;432,00;383,00;310,00;260,00;210,00;175,00;171,67;90,33;117,00;97,75;59,02;183,50;1465,67;1733,53;578,73;590,95;920,89;1495,29;546,01;534,39;1000,00;78,98;97,49;120,40;125,20;379,15;120,40;503,90;297,57;95,73;83,12;65,29;35,37;23,80;6,40;381,94;29,84;21,03;7,24;6,99;0,00;21,70;54,48;107,22;348,88;317,71;274,63;236,20;855,35;61,11;233,24;15,76;0,00;1291,67;324,05;24,45;6,69;0,00;0,00;0,00;0,00;2,90;5,02;47,34;20,56;1018,40;284,70;410,90;100,75;52,00;48,00;51,62;48,38
Ferreira Gomes;Amapá;549,81;116,15;143,22;312,48;197,71;496,01;428,06;480,34;362,85;263,46;175,52;199,50;175,91;284,07;180,93;196,41;294,08;1943,34;1925,40;902,69;799,68;1048,32;1552,90;510,51;972,42;5000,00;64,89;90,73;131,28;146,20;405,66;138,91;496,65;354,08;84,93;86,04;74,99;73,24;34,57;52,82;523,63;40,34;16,42;13,65;3,18;6,41;23,99;101,62;112,78;409,97;353,07;407,10;328,28;1226,56;51,07;208,87;16,33;34,30;1406,99;335,77;46,07;3,61;0,00;0,00;0,00;0,00;10,08;7,24;103,89;10,76;1423,23;334,48;692,22;100,70;71,96;28,04;52,50;47,50
Itaubal;Amapá;474,90;117,10;150,21;188,65;153,15;377,00;332,00;301,00;215,00;221,00;146,00;143,73;97,27;132,00;113,11;65,89;159,03;1072,53;1864,65;263,77;701,66;1032,39;1723,82;636,76;385,40;616,17;31,10;85,05;71,67;96,68;394,18;155,25;403,71;298,29;69,55;72,62;44,20;44,13;12,75;12,82;339,22;37,52;23,21;0,00;24,27;3,72;29,32;40,57;83,59;304,38;287,80;256,87;202,25;840,29;37,17;149,24;89,84;4,18;1200,63;231,93;13,54;0,00;4,84;0,00;0,00;0,00;6,29;0,00;50,36;3,98;1156,84;231,03;283,37;29,87;41,13;58,87;54,40;45,60
Laranjal do Jari;Amapá;4002,06;996,94;1012,25;1900,90;1533,86;3934,00;3639,00;3163,00;2575,00;2187,00;1807,00;1296,02;918,98;1040,00;682,38;596,21;1397,34;14099,93;14583,71;7269,16;6402,15;894,17;1704,38;600,89;903,23;5167,05;382,13;417,86;725,34;776,95;2961,07;1101,05;3781,66;2535,89;814,42;914,00;535,21;456,00;301,67;522,99;3239,31;436,32;219,97;45,90;48,79;7,52;108,77;377,25;719,44;3020,00;3103,79;2707,00;2273,33;7408,39;57,24;900,10;539,13;189,97;9705,08;2925,65;125,62;10,21;94,01;528,99;147,03;18,73;516,42;100,05;367,98;0,00;8652,12;3295,20;4634,98;705,59;94,90;5,10;51,16;48,84
Macapá;Amapá;35557,58;9473,23;8589,83;17474,07;16713,38;41773,06;39637,19;34537,59;29403,32;23139,46;17858,07;14241,25;9888,02;11780,56;8961,56;5276,26;16162,03;158193,81;139218,14;90033,76;67630,85;1197,98;3180,69;772,34;1051,58;5686,67;3505,96;4264,09;5373,06;6854,22;23331,53;9396,00;33830,03;21608,73;8625,21;12235,05;6489,72;4639,81;3080,13;5275,42;28358,97;3245,28;2053,26;988,59;1200,86;219,41;1585,37;4455,18;8088,17;29538,01;33147,48;29897,78;26323,20;80593,50;1454,04;7541,90;4332,77;1155,19;70844,18;23797,78;5476,61;508,48;771,17;3365,60;1082,81;110,68;7921,22;3307,99;15549,64;1288,89;66864,51;24760,28;70394,96;26709,59;95,73;4,27;49,12;50,88
Mazagão;Amapá;2008,30;452,70;512,93;870,72;641,36;1479,00;1261,00;1031,00;908,00;749,00;661,00;528,00;360,00;579,00;362,68;384,98;695,15;5440,60;5873,73;1391,84;3232,94;1245,83;1718,11;522,37;954,26;1203,49;257,72;342,89;298,21;413,49;1443,61;492,06;1785,56;1065,81;310,71;390,37;221,07;108,41;104,53;189,38;1441,87;165,84;128,77;51,15;83,76;21,82;161,56;317,83;330,65;1088,63;1039,93;922,59;803,47;3050,30;217,25;710,62;236,55;501,11;4554,83;910,60;104,85;9,88;0,00;0,00;0,00;0,00;9,37;0,00;162,48;6,28;4343,17;586,26;1288,28;208,59;48,57;51,43;52,69;47,31
Oiapoque;Amapá;1889,27;540,73;514,22;827,30;891,47;2012,00;1850,00;1635,00;1441,00;1145,00;898,00;728,35;366,65;451,00;241,27;211,65;365,62;8092,45;6761,55;2549,56;4540,25;1412,31;2214,33;935,23;1304,35;10989,46;419,00;294,49;578,04;352,24;1414,23;509,06;1812,97;1064,58;409,16;517,00;269,72;229,07;59,13;275,66;1711,08;169,16;76,72;29,62;33,14;7,88;100,09;276,95;482,31;1495,00;1580,28;1405,93;1381,87;3554,61;349,83;622,81;493,86;93,58;4860,43;1293,95;242,49;8,30;4,34;0,00;0,00;0,00;0,00;18,20;135,52;81,05;5200,08;1425,47;1601,73;501,93;67,54;32,46;52,19;47,81
Pedra Branca do Amapari;Amapá;1059,54;263,46;186,27;435,00;428,72;1094,00;952,00;778,00;638,00;592,00;453,00;344,11;305,89;340,00;216,11;345,28;287,75;4178,94;3270,69;1673,25;1785,66;1130,62;1216,51;694,37;1230,76;795,38;34,86;119,83;227,49;224,68;753,75;266,02;970,02;483,76;199,77;293,06;154,82;63,96;58,23;165,62;1037,53;131,66;52,61;31,54;71,92;20,26;66,69;137,51;228,96;800,94;797,18;714,04;579,77;2085,49;13,13;330,99;295,91;47,56;2629,55;553,86;57,08;10,45;0,00;0,00;0,00;0,00;8,86;7,86;40,18;20,45;2831,51;623,93;965,21;155,18;55,36;44,64;54,46;45,54
